,year,month,intent,sex,age,race
1,2012,1,Suicide,M,34,Asian/Pacific Islander
2,2012,1,Suicide,F,21,White
3,2012,1,Suicide,M,60,White
4,2012,2,Suicide,M,64,White
5,2012,2,Suicide,M,31,White
6,2012,2,Suicide,M,17,Native American/Native Alaskan
7,2012,2,Undetermined,M,48,White
8,2012,3,Suicide,M,41,Native American/Native Alaskan
9,2012,2,Accidental,M,50,White
10,2012,2,Suicide,M,NA,Black
11,2012,2,Suicide,M,30,White
12,2012,1,Suicide,M,21,Native American/Native Alaskan
13,2012,3,Suicide,M,43,White
14,2012,3,Suicide,M,34,Native American/Native Alaskan
15,2012,3,Homicide,M,27,White
16,2012,3,Suicide,M,27,Native American/Native Alaskan
17,2012,3,Suicide,M,55,White
18,2012,3,Suicide,M,53,Native American/Native Alaskan
19,2012,3,Homicide,M,31,Asian/Pacific Islander
20,2012,4,Suicide,M,51,White
21,2012,4,Suicide,M,65,Native American/Native Alaskan
22,2012,4,Suicide,F,52,White
23,2012,4,Homicide,F,47,Black
24,2012,4,Suicide,M,19,White
25,2012,4,Homicide,M,51,White
26,2012,4,Homicide,M,41,White
27,2012,4,Suicide,M,22,Native American/Native Alaskan
28,2012,4,Suicide,M,21,White
29,2012,4,Suicide,M,56,White
30,2012,4,Homicide,M,43,White
31,2012,4,Suicide,M,38,Native American/Native Alaskan
32,2012,4,Suicide,M,55,White
33,2012,4,Suicide,M,22,Native American/Native Alaskan
34,2012,5,Suicide,M,27,White
35,2012,4,Homicide,F,25,White
36,2012,4,Undetermined,M,26,White
37,2012,5,Suicide,M,23,Native American/Native Alaskan
38,2012,5,Suicide,M,48,Native American/Native Alaskan
39,2012,5,Suicide,M,43,White
40,2012,5,Suicide,M,53,White
41,2012,5,Suicide,M,31,Native American/Native Alaskan
42,2012,6,Homicide,M,26,Asian/Pacific Islander
43,2012,6,Suicide,M,87,White
44,2012,6,Suicide,M,38,Native American/Native Alaskan
45,2012,6,Suicide,M,17,Native American/Native Alaskan
46,2012,6,Suicide,M,28,White
47,2012,6,Suicide,M,39,White
48,2012,7,Homicide,M,59,White
49,2012,6,Homicide,M,28,Native American/Native Alaskan
50,2012,6,Homicide,M,38,Asian/Pacific Islander
51,2012,7,Suicide,M,59,White
52,2012,7,Suicide,M,26,White
53,2012,6,Suicide,M,50,Native American/Native Alaskan
54,2012,6,Undetermined,F,26,Native American/Native Alaskan
55,2012,7,Suicide,M,21,White
56,2012,7,Suicide,M,61,White
57,2012,7,Accidental,M,12,Black
58,2012,7,Homicide,M,40,White
59,2012,7,Suicide,M,57,White
60,2012,7,Homicide,M,19,Black
61,2012,7,Suicide,M,22,White
62,2012,8,Homicide,M,28,White
63,2012,8,Suicide,M,20,White
64,2012,7,Suicide,F,50,White
65,2012,7,Suicide,M,25,White
66,2012,8,Suicide,M,34,White
67,2012,8,Suicide,F,23,Native American/Native Alaskan
68,2012,8,Suicide,M,34,White
69,2012,8,Suicide,M,60,White
70,2012,8,Suicide,M,26,Native American/Native Alaskan
71,2012,8,Suicide,F,62,White
72,2012,8,Accidental,M,71,White
73,2012,8,Suicide,F,44,White
74,2012,9,Accidental,M,26,White
75,2012,9,Suicide,M,39,White
76,2012,9,Undetermined,M,26,Native American/Native Alaskan
77,2012,9,Suicide,M,57,White
78,2012,9,Suicide,M,29,Asian/Pacific Islander
79,2012,9,Suicide,M,24,White
80,2012,9,Homicide,F,30,White
81,2012,9,Suicide,F,50,Native American/Native Alaskan
82,2012,9,Suicide,M,61,White
83,2012,10,Suicide,F,44,White
84,2012,9,Homicide,M,34,White
85,2012,9,Suicide,M,28,White
86,2012,9,Homicide,M,9,Native American/Native Alaskan
87,2012,9,Suicide,M,77,White
88,2012,9,Suicide,M,17,White
89,2012,10,Suicide,M,25,Black
90,2012,10,Suicide,M,22,Native American/Native Alaskan
91,2012,9,Undetermined,F,22,White
92,2012,10,Suicide,M,18,White
93,2012,10,Homicide,M,24,Native American/Native Alaskan
94,2012,9,Accidental,F,19,Hispanic
95,2012,10,Suicide,M,61,White
96,2012,10,Suicide,M,71,White
97,2012,10,Suicide,M,36,White
